"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","Channel1","Channel2"
"","","V","V"
"2025-04-24 15:37:26.000","45771.6509953704","1.5353","0.0034"
"2025-04-24 15:37:26.005","45771.6509954282","1.5356","0.0035"
"2025-04-24 15:37:26.010","45771.6509954861","1.5351","0.0032"
"2025-04-24 15:37:26.015","45771.6509955440","1.5363","0.0032"
"2025-04-24 15:37:26.020","45771.6509956018","1.5359","0.0034"
"2025-04-24 15:37:26.025","45771.6509956597","1.5364","0.0033"
"2025-04-24 15:37:26.030","45771.6509957176","1.5361","0.0034"
"2025-04-24 15:37:26.035","45771.6509957755","1.5369","0.0033"
"2025-04-24 15:37:26.040","45771.6509958333","1.5368","0.0033"
"2025-04-24 15:37:26.045","45771.6509958912","1.5370","0.0033"
"2025-04-24 15:37:26.050","45771.6509959491","1.5365","0.0033"
"2025-04-24 15:37:26.055","45771.6509960069","1.5360","0.0034"
"2025-04-24 15:37:26.060","45771.6509960648","1.5364","0.0034"
"2025-04-24 15:37:26.065","45771.6509961227","1.5362","0.0033"
"2025-04-24 15:37:26.070","45771.6509961806","1.5364","0.0033"
"2025-04-24 15:37:26.075","45771.6509962384","1.5361","0.0033"
"2025-04-24 15:37:26.080","45771.6509962963","1.5360","0.0034"
"2025-04-24 15:37:26.085","45771.6509963542","1.5362","0.0033"
"2025-04-24 15:37:26.090","45771.6509964120","1.5365","0.0035"
"2025-04-24 15:37:26.095","45771.6509964699","1.5358","0.0033"
"2025-04-24 15:37:26.100","45771.6509965278","1.5368","0.0034"
"2025-04-24 15:37:26.105","45771.6509965856","1.5368","0.0033"
"2025-04-24 15:37:26.110","45771.6509966435","1.5370","0.0033"
"2025-04-24 15:37:26.115","45771.6509967014","1.5360","0.0032"
"2025-04-24 15:37:26.120","45771.6509967593","1.5362","0.0033"
"2025-04-24 15:37:26.125","45771.6509968171","1.5365","0.0035"
"2025-04-24 15:37:26.130","45771.6509968750","1.5360","0.0032"
"2025-04-24 15:37:26.135","45771.6509969329","1.5361","0.0033"
"2025-04-24 15:37:26.140","45771.6509969907","1.5362","0.0034"
"2025-04-24 15:37:26.145","45771.6509970486","1.5359","0.0034"
"2025-04-24 15:37:26.150","45771.6509971065","1.5360","0.0033"
"2025-04-24 15:37:26.155","45771.6509971644","1.5364","0.0033"
"2025-04-24 15:37:26.160","45771.6509972222","1.5358","0.0033"
"2025-04-24 15:37:26.165","45771.6509972801","1.5369","0.0033"
"2025-04-24 15:37:26.170","45771.6509973380","1.5367","0.0032"
"2025-04-24 15:37:26.175","45771.6509973958","1.5362","0.0033"
"2025-04-24 15:37:26.180","45771.6509974537","1.5362","0.0034"
"2025-04-24 15:37:26.185","45771.6509975116","1.5360","0.0032"
"2025-04-24 15:37:26.190","45771.6509975694","1.5358","0.0034"
"2025-04-24 15:37:26.195","45771.6509976273","1.5361","0.0033"
"2025-04-24 15:37:26.200","45771.6509976852","1.5360","0.0034"
"2025-04-24 15:37:26.205","45771.6509977431","1.5361","0.0032"
"2025-04-24 15:37:26.210","45771.6509978009","1.5362","0.0033"
"2025-04-24 15:37:26.215","45771.6509978588","1.5360","0.0033"
"2025-04-24 15:37:26.220","45771.6509979167","1.5363","0.0033"
"2025-04-24 15:37:26.225","45771.6509979745","1.5359","0.0034"
"2025-04-24 15:37:26.230","45771.6509980324","1.5363","0.0034"
"2025-04-24 15:37:26.235","45771.6509980903","1.5369","0.0033"
"2025-04-24 15:37:26.240","45771.6509981482","1.5367","0.0034"
"2025-04-24 15:37:26.245","45771.6509982060","1.5361","0.0033"
"2025-04-24 15:37:26.250","45771.6509982639","1.5358","0.0034"
"2025-04-24 15:37:26.255","45771.6509983218","1.5364","0.0033"
"2025-04-24 15:37:26.260","45771.6509983796","1.5359","0.0034"
"2025-04-24 15:37:26.265","45771.6509984375","1.5360","0.0032"
"2025-04-24 15:37:26.270","45771.6509984954","1.5361","0.0034"
"2025-04-24 15:37:26.275","45771.6509985532","1.5363","0.0033"
"2025-04-24 15:37:26.280","45771.6509986111","1.5359","0.0031"
"2025-04-24 15:37:26.285","45771.6509986690","1.5359","0.0033"
"2025-04-24 15:37:26.290","45771.6509987269","1.5364","0.0034"
"2025-04-24 15:37:26.295","45771.6509987847","1.5366","0.0033"
"2025-04-24 15:37:26.300","45771.6509988426","1.5365","0.0034"
"2025-04-24 15:37:26.305","45771.6509989005","1.5366","0.0033"
"2025-04-24 15:37:26.310","45771.6509989583","1.5361","0.0034"
"2025-04-24 15:37:26.315","45771.6509990162","1.5359","0.0031"
"2025-04-24 15:37:26.320","45771.6509990741","1.5361","0.0034"
"2025-04-24 15:37:26.325","45771.6509991319","1.5360","0.0034"
"2025-04-24 15:37:26.330","45771.6509991898","1.5363","0.0035"
"2025-04-24 15:37:26.335","45771.6509992477","1.5359","0.0033"
"2025-04-24 15:37:26.340","45771.6509993056","1.5361","0.0032"
"2025-04-24 15:37:26.345","45771.6509993634","1.5360","0.0033"
"2025-04-24 15:37:26.350","45771.6509994213","1.5360","0.0034"
"2025-04-24 15:37:26.355","45771.6509994792","1.5360","0.0034"
"2025-04-24 15:37:26.360","45771.6509995370","1.5367","0.0034"
"2025-04-24 15:37:26.365","45771.6509995949","1.5368","0.0033"
"2025-04-24 15:37:26.370","45771.6509996528","1.5366","0.0033"
"2025-04-24 15:37:26.375","45771.6509997106","1.5363","0.0031"
"2025-04-24 15:37:26.380","45771.6509997685","1.5360","0.0033"
"2025-04-24 15:37:26.385","45771.6509998264","1.5362","0.0033"
"2025-04-24 15:37:26.390","45771.6509998843","1.5364","0.0033"
"2025-04-24 15:37:26.395","45771.6509999421","1.5364","0.0034"
"2025-04-24 15:37:26.400","45771.6510000000","1.5360","0.0033"
"2025-04-24 15:37:26.405","45771.6510000579","1.5359","0.0033"
"2025-04-24 15:37:26.410","45771.6510001157","1.5362","0.0032"
"2025-04-24 15:37:26.415","45771.6510001736","1.5359","0.0032"
"2025-04-24 15:37:26.420","45771.6510002315","1.5362","0.0034"
"2025-04-24 15:37:26.425","45771.6510002893","1.5365","0.0033"
"2025-04-24 15:37:26.430","45771.6510003472","1.5367","0.0034"
"2025-04-24 15:37:26.435","45771.6510004051","1.5368","0.0032"
"2025-04-24 15:37:26.440","45771.6510004630","1.5363","0.0034"
"2025-04-24 15:37:26.445","45771.6510005208","1.5361","0.0033"
"2025-04-24 15:37:26.450","45771.6510005787","1.5361","0.0034"
"2025-04-24 15:37:26.455","45771.6510006366","1.5363","0.0031"
"2025-04-24 15:37:26.460","45771.6510006944","1.5362","0.0033"
"2025-04-24 15:37:26.465","45771.6510007523","1.5365","0.0033"
"2025-04-24 15:37:26.470","45771.6510008102","1.5360","0.0034"
"2025-04-24 15:37:26.475","45771.6510008681","1.5358","0.0034"
"2025-04-24 15:37:26.480","45771.6510009259","1.5361","0.0034"
"2025-04-24 15:37:26.485","45771.6510009838","1.5362","0.0034"
"2025-04-24 15:37:26.490","45771.6510010417","1.5365","0.0035"
"2025-04-24 15:37:26.495","45771.6510010995","1.5368","0.0032"
"2025-04-24 15:37:26.500","45771.6510011574","1.5359","0.0034"
"2025-04-24 15:37:26.505","45771.6510012153","1.5360","0.0031"
"2025-04-24 15:37:26.510","45771.6510012731","1.5360","0.0033"
"2025-04-24 15:37:26.515","45771.6510013310","1.5364","0.0033"
"2025-04-24 15:37:26.520","45771.6510013889","1.5361","0.0032"
"2025-04-24 15:37:26.525","45771.6510014468","1.5360","0.0033"
"2025-04-24 15:37:26.530","45771.6510015046","1.5362","0.0034"
"2025-04-24 15:37:26.535","45771.6510015625","1.5361","0.0033"
"2025-04-24 15:37:26.540","45771.6510016204","1.5360","0.0033"
"2025-04-24 15:37:26.545","45771.6510016782","1.5363","0.0033"
"2025-04-24 15:37:26.550","45771.6510017361","1.5361","0.0035"
"2025-04-24 15:37:26.555","45771.6510017940","1.5369","0.0032"
"2025-04-24 15:37:26.560","45771.6510018519","1.5365","0.0033"
"2025-04-24 15:37:26.565","45771.6510019097","1.5360","0.0032"
"2025-04-24 15:37:26.570","45771.6510019676","1.5361","0.0033"
"2025-04-24 15:37:26.575","45771.6510020255","1.5362","0.0033"
"2025-04-24 15:37:26.580","45771.6510020833","1.5362","0.0032"
"2025-04-24 15:37:26.585","45771.6510021412","1.5363","0.0032"
"2025-04-24 15:37:26.590","45771.6510021991","1.5361","0.0034"
"2025-04-24 15:37:26.595","45771.6510022569","1.5361","0.0032"
"2025-04-24 15:37:26.600","45771.6510023148","1.5358","0.0033"
"2025-04-24 15:37:26.605","45771.6510023727","1.5362","0.0033"
"2025-04-24 15:37:26.610","45771.6510024306","1.5362","0.0033"
"2025-04-24 15:37:26.615","45771.6510024884","1.5369","0.0033"
"2025-04-24 15:37:26.620","45771.6510025463","1.5371","0.0033"
"2025-04-24 15:37:26.625","45771.6510026042","1.5367","0.0034"
"2025-04-24 15:37:26.630","45771.6510026620","1.5360","0.0033"
"2025-04-24 15:37:26.635","45771.6510027199","1.5362","0.0033"
"2025-04-24 15:37:26.640","45771.6510027778","1.5361","0.0033"
"2025-04-24 15:37:26.645","45771.6510028356","1.5360","0.0034"
"2025-04-24 15:37:26.650","45771.6510028935","1.5360","0.0034"
"2025-04-24 15:37:26.655","45771.6510029514","1.5361","0.0032"
"2025-04-24 15:37:26.660","45771.6510030093","1.5361","0.0035"
"2025-04-24 15:37:26.665","45771.6510030671","1.5361","0.0031"
"2025-04-24 15:37:26.670","45771.6510031250","1.5361","0.0033"
"2025-04-24 15:37:26.675","45771.6510031829","1.5369","0.0033"
"2025-04-24 15:37:26.680","45771.6510032407","1.5378","0.0032"
"2025-04-24 15:37:26.685","45771.6510032986","1.5374","0.0034"
"2025-04-24 15:37:26.690","45771.6510033565","1.5378","0.0034"
"2025-04-24 15:37:26.695","45771.6510034144","1.5377","0.0033"
"2025-04-24 15:37:26.700","45771.6510034722","1.5375","0.0034"
"2025-04-24 15:37:26.705","45771.6510035301","1.5375","0.0033"
"2025-04-24 15:37:26.710","45771.6510035880","1.5379","0.0035"
"2025-04-24 15:37:26.715","45771.6510036458","1.5376","0.0032"
"2025-04-24 15:37:26.720","45771.6510037037","1.5372","0.0033"
"2025-04-24 15:37:26.725","45771.6510037616","1.5343","0.0033"
"2025-04-24 15:37:26.730","45771.6510038194","1.5346","0.0035"
"2025-04-24 15:37:26.735","45771.6510038773","1.5333","0.0032"
"2025-04-24 15:37:26.740","45771.6510039352","1.5325","0.0033"
"2025-04-24 15:37:26.745","45771.6510039931","1.5340","0.0035"
"2025-04-24 15:37:26.750","45771.6510040509","1.5348","0.0032"
"2025-04-24 15:37:26.755","45771.6510041088","1.5348","0.0033"
"2025-04-24 15:37:26.760","45771.6510041667","1.5346","0.0034"
"2025-04-24 15:37:26.765","45771.6510042245","1.5330","0.0034"
"2025-04-24 15:37:26.770","45771.6510042824","1.5347","0.0034"
"2025-04-24 15:37:26.775","45771.6510043403","1.5348","0.0034"
"2025-04-24 15:37:26.780","45771.6510043981","1.5339","0.0034"
"2025-04-24 15:37:26.785","45771.6510044560","1.5339","0.0032"
"2025-04-24 15:37:26.790","45771.6510045139","1.5342","0.0034"
"2025-04-24 15:37:26.795","45771.6510045718","1.5352","0.0039"
"2025-04-24 15:37:26.800","45771.6510046296","1.5352","0.0041"
"2025-04-24 15:37:26.805","45771.6510046875","1.5349","0.0041"
"2025-04-24 15:37:26.810","45771.6510047454","1.5337","0.0043"
"2025-04-24 15:37:26.815","45771.6510048032","1.5342","0.0044"
"2025-04-24 15:37:26.820","45771.6510048611","1.5351","0.0046"
"2025-04-24 15:37:26.825","45771.6510049190","1.5352","0.0048"
"2025-04-24 15:37:26.830","45771.6510049769","1.5351","0.0050"
"2025-04-24 15:37:26.835","45771.6510050347","1.5345","0.0051"
"2025-04-24 15:37:26.840","45771.6510050926","1.5338","0.0051"
"2025-04-24 15:37:26.845","45771.6510051505","1.5351","0.0053"
"2025-04-24 15:37:26.850","45771.6510052083","1.5353","0.0376"
"2025-04-24 15:37:26.855","45771.6510052662","1.5351","0.0687"
"2025-04-24 15:37:26.860","45771.6510053241","1.5333","0.0962"
"2025-04-24 15:37:26.865","45771.6510053819","1.5352","0.1342"
"2025-04-24 15:37:26.870","45771.6510054398","1.5354","0.1625"
"2025-04-24 15:37:26.875","45771.6510054977","1.5350","0.2075"
"2025-04-24 15:37:26.880","45771.6510055556","1.5332","0.2289"
"2025-04-24 15:37:26.885","45771.6510056134","1.5353","0.2797"
"2025-04-24 15:37:26.890","45771.6510056713","1.5353","0.3047"
"2025-04-24 15:37:26.895","45771.6510057292","1.5340","0.3448"
"2025-04-24 15:37:26.900","45771.6510057870","1.5342","0.3780"
"2025-04-24 15:37:26.905","45771.6510058449","1.5343","0.4069"
"2025-04-24 15:37:26.910","45771.6510059028","1.5352","0.4619"
"2025-04-24 15:37:26.915","45771.6510059607","1.5343","0.5003"
"2025-04-24 15:37:26.920","45771.6510060185","1.5340","0.5321"
"2025-04-24 15:37:26.925","45771.6510060764","1.5342","0.5708"
"2025-04-24 15:37:26.930","45771.6510061343","1.5350","0.6096"
"2025-04-24 15:37:26.935","45771.6510061921","1.5342","0.6349"
"2025-04-24 15:37:26.940","45771.6510062500","1.5337","0.6900"
"2025-04-24 15:37:26.945","45771.6510063079","1.5353","0.7208"
"2025-04-24 15:37:26.950","45771.6510063657","1.5348","0.7620"
"2025-04-24 15:37:26.955","45771.6510064236","1.5343","0.8039"
"2025-04-24 15:37:26.960","45771.6510064815","1.5341","0.8395"
"2025-04-24 15:37:26.965","45771.6510065394","1.5351","0.8850"
"2025-04-24 15:37:26.970","45771.6510065972","1.5344","0.9233"
"2025-04-24 15:37:26.975","45771.6510066551","1.5343","0.9551"
"2025-04-24 15:37:26.980","45771.6510067130","1.5352","0.9919"
"2025-04-24 15:37:26.985","45771.6510067708","1.5351","1.0302"
"2025-04-24 15:37:26.990","45771.6510068287","1.5352","1.0738"
"2025-04-24 15:37:26.995","45771.6510068866","1.5338","1.1122"
"2025-04-24 15:37:27.000","45771.6510069444","1.5347","1.1378"
"2025-04-24 15:37:27.005","45771.6510070023","1.5345","1.1749"
"2025-04-24 15:37:27.010","45771.6510070602","1.5347","1.2109"
"2025-04-24 15:37:27.015","45771.6510071181","1.5338","1.2404"
"2025-04-24 15:37:27.020","45771.6510071759","1.5341","1.2846"
"2025-04-24 15:37:27.025","45771.6510072338","1.5343","1.3164"
"2025-04-24 15:37:27.030","45771.6510072917","1.5341","1.3297"
"2025-04-24 15:37:27.035","45771.6510073495","1.5352","1.3722"
"2025-04-24 15:37:27.040","45771.6510074074","1.5351","1.4183"
"2025-04-24 15:37:27.045","45771.6510074653","1.5342","1.4523"
"2025-04-24 15:37:27.050","45771.6510075231","1.5341","1.4839"
"2025-04-24 15:37:27.055","45771.6510075810","1.5352","1.5070"
"2025-04-24 15:37:27.060","45771.6510076389","1.5345","1.5393"
"2025-04-24 15:37:27.065","45771.6510076968","1.5345","1.5840"
"2025-04-24 15:37:27.070","45771.6510077546","1.5353","1.6131"
"2025-04-24 15:37:27.075","45771.6510078125","1.5340","1.6383"
"2025-04-24 15:37:27.080","45771.6510078704","1.5339","1.6602"
"2025-04-24 15:37:27.085","45771.6510079282","1.5346","1.6927"
"2025-04-24 15:37:27.090","45771.6510079861","1.5351","1.7366"
"2025-04-24 15:37:27.095","45771.6510080440","1.5351","1.7648"
"2025-04-24 15:37:27.100","45771.6510081018","1.5350","1.7866"
"2025-04-24 15:37:27.105","45771.6510081597","1.5331","1.8083"
"2025-04-24 15:37:27.110","45771.6510082176","1.5345","1.8356"
"2025-04-24 15:37:27.115","45771.6510082755","1.5349","1.8758"
"2025-04-24 15:37:27.120","45771.6510083333","1.5359","1.9046"
"2025-04-24 15:37:27.125","45771.6510083912","1.5349","1.9355"
"2025-04-24 15:37:27.130","45771.6510084491","1.5351","1.9583"
"2025-04-24 15:37:27.135","45771.6510085069","1.5350","1.9977"
"2025-04-24 15:37:27.140","45771.6510085648","1.5359","2.0231"
"2025-04-24 15:37:27.145","45771.6510086227","1.5351","2.0608"
