"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","Channel1","Channel2"
"","","V","V"
"2025-04-24 16:08:29.000","45771.6725578704","1.5228","2.7498"
"2025-04-24 16:08:29.005","45771.6725579282","1.5235","2.7283"
"2025-04-24 16:08:29.010","45771.6725579861","1.5232","2.6864"
"2025-04-24 16:08:29.015","45771.6725580440","1.5230","2.6575"
"2025-04-24 16:08:29.020","45771.6725581019","1.5236","2.6347"
"2025-04-24 16:08:29.025","45771.6725581597","1.5243","2.6026"
"2025-04-24 16:08:29.030","45771.6725582176","1.5248","2.5716"
"2025-04-24 16:08:29.035","45771.6725582755","1.5229","2.5354"
"2025-04-24 16:08:29.040","45771.6725583333","1.5226","2.5063"
"2025-04-24 16:08:29.045","45771.6725583912","1.5234","2.4790"
"2025-04-24 16:08:29.050","45771.6725584491","1.5241","2.4530"
"2025-04-24 16:08:29.055","45771.6725585069","1.5269","2.4227"
"2025-04-24 16:08:29.060","45771.6725585648","1.5164","2.3694"
"2025-04-24 16:08:29.065","45771.6725586227","1.5222","2.3665"
"2025-04-24 16:08:29.070","45771.6725586806","1.5222","2.3496"
"2025-04-24 16:08:29.075","45771.6725587384","1.5219","2.3270"
"2025-04-24 16:08:29.080","45771.6725587963","1.5224","2.3137"
"2025-04-24 16:08:29.085","45771.6725588542","1.5223","2.2925"
"2025-04-24 16:08:29.090","45771.6725589120","1.5221","2.2831"
"2025-04-24 16:08:29.095","45771.6725589699","1.5220","2.2692"
"2025-04-24 16:08:29.100","45771.6725590278","1.5223","2.2676"
"2025-04-24 16:08:29.105","45771.6725590857","1.5232","2.2660"
"2025-04-24 16:08:29.110","45771.6725591435","1.5224","2.2742"
"2025-04-24 16:08:29.115","45771.6725592014","1.5231","2.2722"
"2025-04-24 16:08:29.120","45771.6725592593","1.5230","2.2769"
"2025-04-24 16:08:29.125","45771.6725593171","1.5220","2.2772"
"2025-04-24 16:08:29.130","45771.6725593750","1.5213","2.2764"
"2025-04-24 16:08:29.135","45771.6725594329","1.5224","2.2740"
"2025-04-24 16:08:29.140","45771.6725594907","1.5233","2.2864"
"2025-04-24 16:08:29.145","45771.6725595486","1.5227","2.2910"
"2025-04-24 16:08:29.150","45771.6725596065","1.5219","2.3054"
"2025-04-24 16:08:29.155","45771.6725596644","1.5227","2.3147"
"2025-04-24 16:08:29.160","45771.6725597222","1.5231","2.3152"
"2025-04-24 16:08:29.165","45771.6725597801","1.5220","2.3219"
"2025-04-24 16:08:29.170","45771.6725598380","1.5228","2.3342"
"2025-04-24 16:08:29.175","45771.6725598958","1.5225","2.3417"
"2025-04-24 16:08:29.180","45771.6725599537","1.5226","2.3537"
"2025-04-24 16:08:29.185","45771.6725600116","1.5218","2.3697"
"2025-04-24 16:08:29.190","45771.6725600694","1.5221","2.3823"
"2025-04-24 16:08:29.195","45771.6725601273","1.5231","2.3996"
"2025-04-24 16:08:29.200","45771.6725601852","1.5225","2.4244"
"2025-04-24 16:08:29.205","45771.6725602431","1.5228","2.4418"
"2025-04-24 16:08:29.210","45771.6725603009","1.5256","2.4570"
"2025-04-24 16:08:29.215","45771.6725603588","1.5231","2.4639"
"2025-04-24 16:08:29.220","45771.6725604167","1.5255","2.4775"
"2025-04-24 16:08:29.225","45771.6725604745","1.5227","2.4926"
"2025-04-24 16:08:29.230","45771.6725605324","1.5226","2.5040"
"2025-04-24 16:08:29.235","45771.6725605903","1.5231","2.5149"
"2025-04-24 16:08:29.240","45771.6725606481","1.5234","2.5239"
"2025-04-24 16:08:29.245","45771.6725607060","1.5230","2.5320"
"2025-04-24 16:08:29.250","45771.6725607639","1.5229","2.5327"
"2025-04-24 16:08:29.255","45771.6725608218","1.5225","2.5370"
"2025-04-24 16:08:29.260","45771.6725608796","1.5235","2.5364"
"2025-04-24 16:08:29.265","45771.6725609375","1.5231","2.5365"
"2025-04-24 16:08:29.270","45771.6725609954","1.5221","2.5337"
"2025-04-24 16:08:29.275","45771.6725610532","1.5229","2.5351"
"2025-04-24 16:08:29.280","45771.6725611111","1.5238","2.5360"
"2025-04-24 16:08:29.285","45771.6725611690","1.5233","2.5301"
"2025-04-24 16:08:29.290","45771.6725612268","1.5230","2.5221"
"2025-04-24 16:08:29.295","45771.6725612847","1.5238","2.5150"
"2025-04-24 16:08:29.300","45771.6725613426","1.5223","2.5049"
"2025-04-24 16:08:29.305","45771.6725614005","1.5231","2.5009"
"2025-04-24 16:08:29.310","45771.6725614583","1.5228","2.4912"
"2025-04-24 16:08:29.315","45771.6725615162","1.5235","2.4768"
"2025-04-24 16:08:29.320","45771.6725615741","1.5230","2.4627"
"2025-04-24 16:08:29.325","45771.6725616319","1.5227","2.4545"
"2025-04-24 16:08:29.330","45771.6725616898","1.5237","2.4476"
"2025-04-24 16:08:29.335","45771.6725617477","1.5261","2.4211"
"2025-04-24 16:08:29.340","45771.6725618056","1.5213","2.3998"
"2025-04-24 16:08:29.345","45771.6725618634","1.5218","2.3910"
"2025-04-24 16:08:29.350","45771.6725619213","1.5225","2.3849"
"2025-04-24 16:08:29.355","45771.6725619792","1.5226","2.3834"
"2025-04-24 16:08:29.360","45771.6725620370","1.5227","2.3819"
"2025-04-24 16:08:29.365","45771.6725620949","1.5227","2.3832"
"2025-04-24 16:08:29.370","45771.6725621528","1.5227","2.3840"
"2025-04-24 16:08:29.375","45771.6725622106","1.5219","2.3823"
"2025-04-24 16:08:29.380","45771.6725622685","1.5213","2.3824"
"2025-04-24 16:08:29.385","45771.6725623264","1.5226","2.3834"
"2025-04-24 16:08:29.390","45771.6725623843","1.5224","2.3843"
"2025-04-24 16:08:29.395","45771.6725624421","1.5225","2.3814"
"2025-04-24 16:08:29.400","45771.6725625000","1.5214","2.3908"
"2025-04-24 16:08:29.405","45771.6725625579","1.5227","2.4015"
"2025-04-24 16:08:29.410","45771.6725626157","1.5232","2.4146"
"2025-04-24 16:08:29.415","45771.6725626736","1.5227","2.4325"
"2025-04-24 16:08:29.420","45771.6725627315","1.5223","2.4442"
"2025-04-24 16:08:29.425","45771.6725627894","1.5230","2.4502"
"2025-04-24 16:08:29.430","45771.6725628472","1.5264","2.4523"
"2025-04-24 16:08:29.435","45771.6725629051","1.5253","2.4594"
"2025-04-24 16:08:29.440","45771.6725629630","1.5251","2.4582"
"2025-04-24 16:08:29.445","45771.6725630208","1.5233","2.4680"
"2025-04-24 16:08:29.450","45771.6725630787","1.5236","2.4681"
"2025-04-24 16:08:29.455","45771.6725631366","1.5236","2.4749"
"2025-04-24 16:08:29.460","45771.6725631944","1.5240","2.4730"
"2025-04-24 16:08:29.465","45771.6725632523","1.5220","2.4747"
"2025-04-24 16:08:29.470","45771.6725633102","1.5231","2.4750"
"2025-04-24 16:08:29.475","45771.6725633681","1.5234","2.4741"
"2025-04-24 16:08:29.480","45771.6725634259","1.5233","2.4743"
"2025-04-24 16:08:29.485","45771.6725634838","1.5235","2.4728"
"2025-04-24 16:08:29.490","45771.6725635417","1.5221","2.4731"
"2025-04-24 16:08:29.495","45771.6725635995","1.5235","2.4741"
"2025-04-24 16:08:29.500","45771.6725636574","1.5231","2.4637"
"2025-04-24 16:08:29.505","45771.6725637153","1.5231","2.4528"
"2025-04-24 16:08:29.510","45771.6725637732","1.5248","2.4499"
"2025-04-24 16:08:29.515","45771.6725638310","1.5256","2.4461"
"2025-04-24 16:08:29.520","45771.6725638889","1.5263","2.4356"
"2025-04-24 16:08:29.525","45771.6725639468","1.5227","2.4122"
"2025-04-24 16:08:29.530","45771.6725640046","1.5212","2.4037"
"2025-04-24 16:08:29.535","45771.6725640625","1.5220","2.4046"
"2025-04-24 16:08:29.540","45771.6725641204","1.5232","2.4032"
"2025-04-24 16:08:29.545","45771.6725641782","1.5216","2.4023"
"2025-04-24 16:08:29.550","45771.6725642361","1.5222","2.4047"
"2025-04-24 16:08:29.555","45771.6725642940","1.5223","2.4046"
"2025-04-24 16:08:29.560","45771.6725643519","1.5229","2.4045"
"2025-04-24 16:08:29.565","45771.6725644097","1.5218","2.4034"
"2025-04-24 16:08:29.570","45771.6725644676","1.5219","2.4125"
"2025-04-24 16:08:29.575","45771.6725645255","1.5226","2.4335"
"2025-04-24 16:08:29.580","45771.6725645833","1.5228","2.4387"
"2025-04-24 16:08:29.585","45771.6725646412","1.5250","2.4421"
"2025-04-24 16:08:29.590","45771.6725646991","1.5252","2.4504"
"2025-04-24 16:08:29.595","45771.6725647569","1.5257","2.4563"
"2025-04-24 16:08:29.600","45771.6725648148","1.5261","2.4596"
"2025-04-24 16:08:29.605","45771.6725648727","1.5241","2.4567"
"2025-04-24 16:08:29.610","45771.6725649306","1.5267","2.4633"
"2025-04-24 16:08:29.615","45771.6725649884","1.5234","2.4585"
"2025-04-24 16:08:29.620","45771.6725650463","1.5254","2.4650"
"2025-04-24 16:08:29.625","45771.6725651042","1.5232","2.4620"
"2025-04-24 16:08:29.630","45771.6725651620","1.5262","2.4636"
"2025-04-24 16:08:29.635","45771.6725652199","1.5235","2.4616"
"2025-04-24 16:08:29.640","45771.6725652778","1.5220","2.4601"
"2025-04-24 16:08:29.645","45771.6725653356","1.5235","2.4650"
"2025-04-24 16:08:29.650","45771.6725653935","1.5236","2.4615"
"2025-04-24 16:08:29.655","45771.6725654514","1.5252","2.4668"
"2025-04-24 16:08:29.660","45771.6725655093","1.5227","2.4617"
"2025-04-24 16:08:29.665","45771.6725655671","1.5259","2.4632"
"2025-04-24 16:08:29.670","45771.6725656250","1.5235","2.4617"
"2025-04-24 16:08:29.675","45771.6725656829","1.5258","2.4600"
"2025-04-24 16:08:29.680","45771.6725657407","1.5233","2.4586"
"2025-04-24 16:08:29.685","45771.6725657986","1.5247","2.4476"
"2025-04-24 16:08:29.690","45771.6725658565","1.5256","2.4480"
"2025-04-24 16:08:29.695","45771.6725659143","1.5244","2.4369"
"2025-04-24 16:08:29.700","45771.6725659722","1.5237","2.4356"
"2025-04-24 16:08:29.705","45771.6725660301","1.5219","2.4187"
"2025-04-24 16:08:29.710","45771.6725660880","1.5215","2.4134"
"2025-04-24 16:08:29.715","45771.6725661458","1.5227","2.4144"
"2025-04-24 16:08:29.720","45771.6725662037","1.5229","2.4163"
"2025-04-24 16:08:29.725","45771.6725662616","1.5218","2.4152"
"2025-04-24 16:08:29.730","45771.6725663194","1.5216","2.4147"
"2025-04-24 16:08:29.735","45771.6725663773","1.5221","2.4162"
"2025-04-24 16:08:29.740","45771.6725664352","1.5223","2.4333"
"2025-04-24 16:08:29.745","45771.6725664931","1.5226","2.4392"
"2025-04-24 16:08:29.750","45771.6725665509","1.5261","2.4444"
"2025-04-24 16:08:29.755","45771.6725666088","1.5262","2.4523"
"2025-04-24 16:08:29.760","45771.6725666667","1.5259","2.4546"
"2025-04-24 16:08:29.765","45771.6725667245","1.5266","2.4575"
"2025-04-24 16:08:29.770","45771.6725667824","1.5220","2.4579"
"2025-04-24 16:08:29.775","45771.6725668403","1.5253","2.4602"
"2025-04-24 16:08:29.780","45771.6725668981","1.5227","2.4602"
"2025-04-24 16:08:29.785","45771.6725669560","1.5256","2.4592"
"2025-04-24 16:08:29.790","45771.6725670139","1.5238","2.4612"
"2025-04-24 16:08:29.795","45771.6725670718","1.5252","2.4575"
"2025-04-24 16:08:29.800","45771.6725671296","1.5248","2.4619"
"2025-04-24 16:08:29.805","45771.6725671875","1.5229","2.4588"
"2025-04-24 16:08:29.810","45771.6725672454","1.5264","2.4623"
"2025-04-24 16:08:29.815","45771.6725673032","1.5229","2.4572"
"2025-04-24 16:08:29.820","45771.6725673611","1.5262","2.4598"
"2025-04-24 16:08:29.825","45771.6725674190","1.5215","2.4558"
"2025-04-24 16:08:29.830","45771.6725674769","1.5264","2.4586"
"2025-04-24 16:08:29.835","45771.6725675347","1.5249","2.4614"
"2025-04-24 16:08:29.840","45771.6725675926","1.5263","2.4561"
"2025-04-24 16:08:29.845","45771.6725676505","1.5236","2.4607"
"2025-04-24 16:08:29.850","45771.6725677083","1.5226","2.4544"
"2025-04-24 16:08:29.855","45771.6725677662","1.5263","2.4567"
"2025-04-24 16:08:29.860","45771.6725678241","1.5244","2.4484"
"2025-04-24 16:08:29.865","45771.6725678819","1.5265","2.4476"
"2025-04-24 16:08:29.870","45771.6725679398","1.5249","2.4450"
"2025-04-24 16:08:29.875","45771.6725679977","1.5261","2.4417"
"2025-04-24 16:08:29.880","45771.6725680556","1.5226","2.4339"
"2025-04-24 16:08:29.885","45771.6725681134","1.5259","2.4232"
"2025-04-24 16:08:29.890","45771.6725681713","1.5222","2.4211"
"2025-04-24 16:08:29.895","45771.6725682292","1.5227","2.4197"
"2025-04-24 16:08:29.900","45771.6725682870","1.5214","2.4200"
"2025-04-24 16:08:29.905","45771.6725683449","1.5216","2.4199"
"2025-04-24 16:08:29.910","45771.6725684028","1.5221","2.4220"
"2025-04-24 16:08:29.915","45771.6725684606","1.5224","2.4213"
"2025-04-24 16:08:29.920","45771.6725685185","1.5228","2.4326"
"2025-04-24 16:08:29.925","45771.6725685764","1.5214","2.4399"
"2025-04-24 16:08:29.930","45771.6725686343","1.5245","2.4491"
"2025-04-24 16:08:29.935","45771.6725686921","1.5244","2.4522"
"2025-04-24 16:08:29.940","45771.6725687500","1.5265","2.4543"
"2025-04-24 16:08:29.945","45771.6725688079","1.5250","2.4556"
"2025-04-24 16:08:29.950","45771.6725688657","1.5254","2.4532"
"2025-04-24 16:08:29.955","45771.6725689236","1.5258","2.4610"
"2025-04-24 16:08:29.960","45771.6725689815","1.5237","2.4546"
"2025-04-24 16:08:29.965","45771.6725690394","1.5264","2.4624"
"2025-04-24 16:08:29.970","45771.6725690972","1.5219","2.4569"
"2025-04-24 16:08:29.975","45771.6725691551","1.5250","2.4614"
"2025-04-24 16:08:29.980","45771.6725692130","1.5225","2.4589"
"2025-04-24 16:08:29.985","45771.6725692708","1.5263","2.4610"
"2025-04-24 16:08:29.990","45771.6725693287","1.5239","2.4617"
"2025-04-24 16:08:29.995","45771.6725693866","1.5253","2.4573"
"2025-04-24 16:08:30.000","45771.6725694444","1.5219","2.4581"
"2025-04-24 16:08:30.005","45771.6725695023","1.5223","2.4553"
"2025-04-24 16:08:30.010","45771.6725695602","1.5252","2.4607"
"2025-04-24 16:08:30.015","45771.6725696181","1.5231","2.4535"
"2025-04-24 16:08:30.020","45771.6725696759","1.5240","2.4596"
"2025-04-24 16:08:30.025","45771.6725697338","1.5225","2.4557"
"2025-04-24 16:08:30.030","45771.6725697917","1.5259","2.4608"
"2025-04-24 16:08:30.035","45771.6725698495","1.5229","2.4590"
"2025-04-24 16:08:30.040","45771.6725699074","1.5256","2.4574"
"2025-04-24 16:08:30.045","45771.6725699653","1.5217","2.4539"
"2025-04-24 16:08:30.050","45771.6725700231","1.5248","2.4501"
"2025-04-24 16:08:30.055","45771.6725700810","1.5260","2.4478"
"2025-04-24 16:08:30.060","45771.6725701389","1.5253","2.4374"
"2025-04-24 16:08:30.065","45771.6725701968","1.5253","2.4406"
"2025-04-24 16:08:30.070","45771.6725702546","1.5214","2.4273"
"2025-04-24 16:08:30.075","45771.6725703125","1.5219","2.4262"
"2025-04-24 16:08:30.080","45771.6725703704","1.5223","2.4265"
"2025-04-24 16:08:30.085","45771.6725704282","1.5214","2.4264"
"2025-04-24 16:08:30.090","45771.6725704861","1.5207","2.4239"
"2025-04-24 16:08:30.095","45771.6725705440","1.5211","2.4261"
"2025-04-24 16:08:30.100","45771.6725706019","1.5220","2.4320"
"2025-04-24 16:08:30.105","45771.6725706597","1.5240","2.4405"
"2025-04-24 16:08:30.110","45771.6725707176","1.5243","2.4484"
"2025-04-24 16:08:30.115","45771.6725707755","1.5237","2.4466"
"2025-04-24 16:08:30.120","45771.6725708333","1.5256","2.4546"
"2025-04-24 16:08:30.125","45771.6725708912","1.5246","2.4533"
"2025-04-24 16:08:30.130","45771.6725709491","1.5243","2.4565"
"2025-04-24 16:08:30.135","45771.6725710069","1.5238","2.4592"
"2025-04-24 16:08:30.140","45771.6725710648","1.5258","2.4607"
"2025-04-24 16:08:30.145","45771.6725711227","1.5221","2.4584"
