"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","Channel1","Channel2"
"","","V","V"
"2025-04-24 16:10:44.000","45771.6741203704","1.5250","4.0727"
"2025-04-24 16:10:44.005","45771.6741204282","1.5254","4.0723"
"2025-04-24 16:10:44.010","45771.6741204861","1.5247","4.0719"
"2025-04-24 16:10:44.015","45771.6741205440","1.5254","4.0738"
"2025-04-24 16:10:44.020","45771.6741206018","1.5256","4.0732"
"2025-04-24 16:10:44.025","45771.6741206597","1.5253","4.0729"
"2025-04-24 16:10:44.030","45771.6741207176","1.5251","4.0730"
"2025-04-24 16:10:44.035","45771.6741207755","1.5251","4.0731"
"2025-04-24 16:10:44.040","45771.6741208333","1.5251","4.0732"
"2025-04-24 16:10:44.045","45771.6741208912","1.5254","4.0731"
"2025-04-24 16:10:44.050","45771.6741209491","1.5256","4.0727"
"2025-04-24 16:10:44.055","45771.6741210069","1.5255","4.0735"
"2025-04-24 16:10:44.060","45771.6741210648","1.5258","4.0754"
"2025-04-24 16:10:44.065","45771.6741211227","1.5260","4.0749"
"2025-04-24 16:10:44.070","45771.6741211806","1.5260","4.0746"
"2025-04-24 16:10:44.075","45771.6741212384","1.5253","4.0729"
"2025-04-24 16:10:44.080","45771.6741212963","1.5256","4.0735"
"2025-04-24 16:10:44.085","45771.6741213542","1.5254","4.0737"
"2025-04-24 16:10:44.090","45771.6741214120","1.5254","4.0735"
"2025-04-24 16:10:44.095","45771.6741214699","1.5257","4.0733"
"2025-04-24 16:10:44.100","45771.6741215278","1.5251","4.0733"
"2025-04-24 16:10:44.105","45771.6741215856","1.5252","4.0735"
"2025-04-24 16:10:44.110","45771.6741216435","1.5254","4.0733"
"2025-04-24 16:10:44.115","45771.6741217014","1.5254","4.0735"
"2025-04-24 16:10:44.120","45771.6741217593","1.5255","4.0732"
"2025-04-24 16:10:44.125","45771.6741218171","1.5258","4.0749"
"2025-04-24 16:10:44.130","45771.6741218750","1.5258","4.0741"
"2025-04-24 16:10:44.135","45771.6741219329","1.5258","4.0740"
"2025-04-24 16:10:44.140","45771.6741219907","1.5253","4.0733"
"2025-04-24 16:10:44.145","45771.6741220486","1.5250","4.0733"
"2025-04-24 16:10:44.150","45771.6741221065","1.5253","4.0735"
"2025-04-24 16:10:44.155","45771.6741221644","1.5253","4.0730"
"2025-04-24 16:10:44.160","45771.6741222222","1.5257","4.0736"
"2025-04-24 16:10:44.165","45771.6741222801","1.5254","4.0729"
"2025-04-24 16:10:44.170","45771.6741223380","1.5255","4.0723"
"2025-04-24 16:10:44.175","45771.6741223958","1.5254","4.0735"
"2025-04-24 16:10:44.180","45771.6741224537","1.5255","4.0737"
"2025-04-24 16:10:44.185","45771.6741225116","1.5255","4.0734"
"2025-04-24 16:10:44.190","45771.6741225694","1.5255","4.0752"
"2025-04-24 16:10:44.195","45771.6741226273","1.5263","4.0743"
"2025-04-24 16:10:44.200","45771.6741226852","1.5255","4.0745"
"2025-04-24 16:10:44.205","45771.6741227431","1.5254","4.0734"
"2025-04-24 16:10:44.210","45771.6741228009","1.5258","4.0737"
"2025-04-24 16:10:44.215","45771.6741228588","1.5255","4.0730"
"2025-04-24 16:10:44.220","45771.6741229167","1.5253","4.0734"
"2025-04-24 16:10:44.225","45771.6741229745","1.5256","4.0731"
"2025-04-24 16:10:44.230","45771.6741230324","1.5253","4.0736"
"2025-04-24 16:10:44.235","45771.6741230903","1.5255","4.0730"
"2025-04-24 16:10:44.240","45771.6741231482","1.5253","4.0734"
"2025-04-24 16:10:44.245","45771.6741232060","1.5254","4.0732"
"2025-04-24 16:10:44.250","45771.6741232639","1.5252","4.0727"
"2025-04-24 16:10:44.255","45771.6741233218","1.5254","4.0749"
"2025-04-24 16:10:44.260","45771.6741233796","1.5261","4.0747"
"2025-04-24 16:10:44.265","45771.6741234375","1.5258","4.0751"
"2025-04-24 16:10:44.270","45771.6741234954","1.5251","4.0726"
"2025-04-24 16:10:44.275","45771.6741235532","1.5254","4.0734"
"2025-04-24 16:10:44.280","45771.6741236111","1.5253","4.0735"
"2025-04-24 16:10:44.285","45771.6741236690","1.5254","4.0738"
"2025-04-24 16:10:44.290","45771.6741237269","1.5251","4.0732"
"2025-04-24 16:10:44.295","45771.6741237847","1.5251","4.0730"
"2025-04-24 16:10:44.300","45771.6741238426","1.5251","4.0725"
"2025-04-24 16:10:44.305","45771.6741239005","1.5254","4.0730"
"2025-04-24 16:10:44.310","45771.6741239583","1.5253","4.0733"
"2025-04-24 16:10:44.315","45771.6741240162","1.5254","4.0738"
"2025-04-24 16:10:44.320","45771.6741240741","1.5257","4.0753"
"2025-04-24 16:10:44.325","45771.6741241319","1.5262","4.0747"
"2025-04-24 16:10:44.330","45771.6741241898","1.5257","4.0746"
"2025-04-24 16:10:44.335","45771.6741242477","1.5254","4.0734"
"2025-04-24 16:10:44.340","45771.6741243056","1.5255","4.0738"
"2025-04-24 16:10:44.345","45771.6741243634","1.5254","4.0738"
"2025-04-24 16:10:44.350","45771.6741244213","1.5254","4.0739"
"2025-04-24 16:10:44.355","45771.6741244792","1.5254","4.0736"
"2025-04-24 16:10:44.360","45771.6741245370","1.5255","4.0734"
"2025-04-24 16:10:44.365","45771.6741245949","1.5251","4.0733"
"2025-04-24 16:10:44.370","45771.6741246528","1.5253","4.0731"
"2025-04-24 16:10:44.375","45771.6741247106","1.5254","4.0737"
"2025-04-24 16:10:44.380","45771.6741247685","1.5253","4.0737"
"2025-04-24 16:10:44.385","45771.6741248264","1.5256","4.0750"
"2025-04-24 16:10:44.390","45771.6741248843","1.5256","4.0745"
"2025-04-24 16:10:44.395","45771.6741249421","1.5258","4.0750"
"2025-04-24 16:10:44.400","45771.6741250000","1.5261","4.0729"
"2025-04-24 16:10:44.405","45771.6741250579","1.5255","4.0735"
"2025-04-24 16:10:44.410","45771.6741251157","1.5254","4.0733"
"2025-04-24 16:10:44.415","45771.6741251736","1.5254","4.0733"
"2025-04-24 16:10:44.420","45771.6741252315","1.5250","4.0729"
"2025-04-24 16:10:44.425","45771.6741252894","1.5254","4.0731"
"2025-04-24 16:10:44.430","45771.6741253472","1.5254","4.0734"
"2025-04-24 16:10:44.435","45771.6741254051","1.5251","4.0727"
"2025-04-24 16:10:44.440","45771.6741254630","1.5253","4.0734"
"2025-04-24 16:10:44.445","45771.6741255208","1.5254","4.0736"
"2025-04-24 16:10:44.450","45771.6741255787","1.5256","4.0757"
"2025-04-24 16:10:44.455","45771.6741256366","1.5261","4.0753"
"2025-04-24 16:10:44.460","45771.6741256944","1.5260","4.0748"
"2025-04-24 16:10:44.465","45771.6741257523","1.5258","4.0728"
"2025-04-24 16:10:44.470","45771.6741258102","1.5254","4.0734"
"2025-04-24 16:10:44.475","45771.6741258681","1.5253","4.0734"
"2025-04-24 16:10:44.480","45771.6741259259","1.5259","4.0738"
"2025-04-24 16:10:44.485","45771.6741259838","1.5251","4.0735"
"2025-04-24 16:10:44.490","45771.6741260417","1.5255","4.0729"
"2025-04-24 16:10:44.495","45771.6741260995","1.5252","4.0732"
"2025-04-24 16:10:44.500","45771.6741261574","1.5252","4.0728"
"2025-04-24 16:10:44.505","45771.6741262153","1.5256","4.0733"
"2025-04-24 16:10:44.510","45771.6741262731","1.5252","4.0726"
"2025-04-24 16:10:44.515","45771.6741263310","1.5257","4.0753"
"2025-04-24 16:10:44.520","45771.6741263889","1.5259","4.0746"
"2025-04-24 16:10:44.525","45771.6741264468","1.5258","4.0755"
"2025-04-24 16:10:44.530","45771.6741265046","1.5257","4.0731"
"2025-04-24 16:10:44.535","45771.6741265625","1.5255","4.0732"
"2025-04-24 16:10:44.540","45771.6741266204","1.5255","4.0731"
"2025-04-24 16:10:44.545","45771.6741266782","1.5253","4.0736"
"2025-04-24 16:10:44.550","45771.6741267361","1.5252","4.0735"
"2025-04-24 16:10:44.555","45771.6741267940","1.5248","4.0732"
"2025-04-24 16:10:44.560","45771.6741268519","1.5257","4.0733"
"2025-04-24 16:10:44.565","45771.6741269097","1.5253","4.0729"
"2025-04-24 16:10:44.570","45771.6741269676","1.5254","4.0727"
"2025-04-24 16:10:44.575","45771.6741270255","1.5254","4.0728"
"2025-04-24 16:10:44.580","45771.6741270833","1.5256","4.0752"
"2025-04-24 16:10:44.585","45771.6741271412","1.5256","4.0743"
"2025-04-24 16:10:44.590","45771.6741271991","1.5258","4.0751"
"2025-04-24 16:10:44.595","45771.6741272569","1.5258","4.0737"
"2025-04-24 16:10:44.600","45771.6741273148","1.5252","4.0733"
"2025-04-24 16:10:44.605","45771.6741273727","1.5253","4.0738"
"2025-04-24 16:10:44.610","45771.6741274306","1.5254","4.0734"
"2025-04-24 16:10:44.615","45771.6741274884","1.5256","4.0740"
"2025-04-24 16:10:44.620","45771.6741275463","1.5254","4.0734"
"2025-04-24 16:10:44.625","45771.6741276042","1.5255","4.0738"
"2025-04-24 16:10:44.630","45771.6741276620","1.5256","4.0730"
"2025-04-24 16:10:44.635","45771.6741277199","1.5252","4.0737"
"2025-04-24 16:10:44.640","45771.6741277778","1.5255","4.0734"
"2025-04-24 16:10:44.645","45771.6741278356","1.5254","4.0754"
"2025-04-24 16:10:44.650","45771.6741278935","1.5260","4.0746"
"2025-04-24 16:10:44.655","45771.6741279514","1.5259","4.0742"
"2025-04-24 16:10:44.660","45771.6741280093","1.5255","4.0725"
"2025-04-24 16:10:44.665","45771.6741280671","1.5254","4.0728"
"2025-04-24 16:10:44.670","45771.6741281250","1.5254","4.0734"
"2025-04-24 16:10:44.675","45771.6741281829","1.5256","4.0730"
"2025-04-24 16:10:44.680","45771.6741282407","1.5254","4.0731"
"2025-04-24 16:10:44.685","45771.6741282986","1.5252","4.0730"
"2025-04-24 16:10:44.690","45771.6741283565","1.5255","4.0731"
"2025-04-24 16:10:44.695","45771.6741284143","1.5251","4.0738"
"2025-04-24 16:10:44.700","45771.6741284722","1.5253","4.0736"
"2025-04-24 16:10:44.705","45771.6741285301","1.5257","4.0735"
"2025-04-24 16:10:44.710","45771.6741285880","1.5253","4.0758"
"2025-04-24 16:10:44.715","45771.6741286458","1.5258","4.0747"
"2025-04-24 16:10:44.720","45771.6741287037","1.5259","4.0753"
"2025-04-24 16:10:44.725","45771.6741287616","1.5258","4.0731"
"2025-04-24 16:10:44.730","45771.6741288194","1.5251","4.0730"
"2025-04-24 16:10:44.735","45771.6741288773","1.5255","4.0736"
"2025-04-24 16:10:44.740","45771.6741289352","1.5254","4.0731"
"2025-04-24 16:10:44.745","45771.6741289931","1.5255","4.0736"
"2025-04-24 16:10:44.750","45771.6741290509","1.5249","4.0735"
"2025-04-24 16:10:44.755","45771.6741291088","1.5253","4.0734"
"2025-04-24 16:10:44.760","45771.6741291667","1.5256","4.0733"
"2025-04-24 16:10:44.765","45771.6741292245","1.5256","4.0735"
"2025-04-24 16:10:44.770","45771.6741292824","1.5256","4.0731"
"2025-04-24 16:10:44.775","45771.6741293403","1.5255","4.0756"
"2025-04-24 16:10:44.780","45771.6741293981","1.5261","4.0757"
"2025-04-24 16:10:44.785","45771.6741294560","1.5261","4.0749"
"2025-04-24 16:10:44.790","45771.6741295139","1.5258","4.0736"
"2025-04-24 16:10:44.795","45771.6741295718","1.5254","4.0731"
"2025-04-24 16:10:44.800","45771.6741296296","1.5256","4.0732"
"2025-04-24 16:10:44.805","45771.6741296875","1.5253","4.0742"
"2025-04-24 16:10:44.810","45771.6741297454","1.5254","4.0739"
"2025-04-24 16:10:44.815","45771.6741298032","1.5254","4.0736"
"2025-04-24 16:10:44.820","45771.6741298611","1.5255","4.0730"
"2025-04-24 16:10:44.825","45771.6741299190","1.5253","4.0729"
"2025-04-24 16:10:44.830","45771.6741299769","1.5252","4.0735"
"2025-04-24 16:10:44.835","45771.6741300347","1.5254","4.0736"
"2025-04-24 16:10:44.840","45771.6741300926","1.5255","4.0756"
"2025-04-24 16:10:44.845","45771.6741301505","1.5260","4.0751"
"2025-04-24 16:10:44.850","45771.6741302083","1.5260","4.0746"
"2025-04-24 16:10:44.855","45771.6741302662","1.5258","4.0735"
"2025-04-24 16:10:44.860","45771.6741303241","1.5256","4.0735"
"2025-04-24 16:10:44.865","45771.6741303819","1.5258","4.0739"
"2025-04-24 16:10:44.870","45771.6741304398","1.5255","4.0727"
"2025-04-24 16:10:44.875","45771.6741304977","1.5254","4.0734"
"2025-04-24 16:10:44.880","45771.6741305556","1.5257","4.0738"
"2025-04-24 16:10:44.885","45771.6741306134","1.5254","4.0736"
"2025-04-24 16:10:44.890","45771.6741306713","1.5254","4.0742"
"2025-04-24 16:10:44.895","45771.6741307292","1.5252","4.0740"
"2025-04-24 16:10:44.900","45771.6741307870","1.5255","4.0736"
"2025-04-24 16:10:44.905","45771.6741308449","1.5255","4.0753"
"2025-04-24 16:10:44.910","45771.6741309028","1.5258","4.0751"
"2025-04-24 16:10:44.915","45771.6741309607","1.5256","4.0746"
"2025-04-24 16:10:44.920","45771.6741310185","1.5257","4.0735"
"2025-04-24 16:10:44.925","45771.6741310764","1.5256","4.0731"
"2025-04-24 16:10:44.930","45771.6741311343","1.5257","4.0735"
"2025-04-24 16:10:44.935","45771.6741311921","1.5255","4.0732"
"2025-04-24 16:10:44.940","45771.6741312500","1.5253","4.0730"
"2025-04-24 16:10:44.945","45771.6741313079","1.5255","4.0734"
"2025-04-24 16:10:44.950","45771.6741313657","1.5257","4.0736"
"2025-04-24 16:10:44.955","45771.6741314236","1.5254","4.0733"
"2025-04-24 16:10:44.960","45771.6741314815","1.5255","4.0729"
"2025-04-24 16:10:44.965","45771.6741315394","1.5257","4.0733"
"2025-04-24 16:10:44.970","45771.6741315972","1.5251","4.0747"
"2025-04-24 16:10:44.975","45771.6741316551","1.5260","4.0748"
"2025-04-24 16:10:44.980","45771.6741317130","1.5260","4.0749"
"2025-04-24 16:10:44.985","45771.6741317708","1.5261","4.0736"
"2025-04-24 16:10:44.990","45771.6741318287","1.5254","4.0732"
"2025-04-24 16:10:44.995","45771.6741318866","1.5252","4.0732"
"2025-04-24 16:10:45.000","45771.6741319444","1.5246","4.0708"
"2025-04-24 16:10:45.005","45771.6741320023","1.5244","4.0713"
"2025-04-24 16:10:45.010","45771.6741320602","1.5249","4.0722"
"2025-04-24 16:10:45.015","45771.6741321181","1.5245","4.0713"
"2025-04-24 16:10:45.020","45771.6741321759","1.5249","4.0717"
"2025-04-24 16:10:45.025","45771.6741322338","1.5249","4.0722"
"2025-04-24 16:10:45.030","45771.6741322917","1.5251","4.0727"
"2025-04-24 16:10:45.035","45771.6741323495","1.5245","4.0738"
"2025-04-24 16:10:45.040","45771.6741324074","1.5256","4.0746"
"2025-04-24 16:10:45.045","45771.6741324653","1.5253","4.0740"
"2025-04-24 16:10:45.050","45771.6741325231","1.5254","4.0727"
"2025-04-24 16:10:45.055","45771.6741325810","1.5245","4.0724"
"2025-04-24 16:10:45.060","45771.6741326389","1.5251","4.0721"
"2025-04-24 16:10:45.065","45771.6741326968","1.5248","4.0731"
"2025-04-24 16:10:45.070","45771.6741327546","1.5252","4.0725"
"2025-04-24 16:10:45.075","45771.6741328125","1.5245","4.0728"
"2025-04-24 16:10:45.080","45771.6741328704","1.5252","4.0725"
"2025-04-24 16:10:45.085","45771.6741329282","1.5247","4.0719"
"2025-04-24 16:10:45.090","45771.6741329861","1.5254","4.0720"
"2025-04-24 16:10:45.095","45771.6741330440","1.5249","4.0721"
"2025-04-24 16:10:45.100","45771.6741331018","1.5252","4.0744"
"2025-04-24 16:10:45.105","45771.6741331597","1.5250","4.0738"
"2025-04-24 16:10:45.110","45771.6741332176","1.5259","4.0742"
"2025-04-24 16:10:45.115","45771.6741332755","1.5252","4.0721"
"2025-04-24 16:10:45.120","45771.6741333333","1.5254","4.0727"
"2025-04-24 16:10:45.125","45771.6741333912","1.5245","4.0726"
"2025-04-24 16:10:45.130","45771.6741334491","1.5256","4.0733"
"2025-04-24 16:10:45.135","45771.6741335069","1.5245","4.0723"
"2025-04-24 16:10:45.140","45771.6741335648","1.5252","4.0724"
"2025-04-24 16:10:45.145","45771.6741336227","1.5250","4.0723"
