"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","Channel1","Channel2"
"","","V","V"
"2025-04-24 16:36:27.000","45771.6919791667","2.0915","0.8263"
"2025-04-24 16:36:27.005","45771.6919792245","2.0911","0.8259"
"2025-04-24 16:36:27.010","45771.6919792824","2.0916","0.8283"
"2025-04-24 16:36:27.015","45771.6919793403","2.0932","0.8295"
"2025-04-24 16:36:27.020","45771.6919793982","2.0922","0.8298"
"2025-04-24 16:36:27.025","45771.6919794560","2.0918","0.8303"
"2025-04-24 16:36:27.030","45771.6919795139","2.0924","0.8374"
"2025-04-24 16:36:27.035","45771.6919795718","2.0940","0.8445"
"2025-04-24 16:36:27.040","45771.6919796296","2.0934","0.8425"
"2025-04-24 16:36:27.045","45771.6919796875","2.0942","0.8429"
"2025-04-24 16:36:27.050","45771.6919797454","2.0915","0.8428"
"2025-04-24 16:36:27.055","45771.6919798032","2.0923","0.8430"
"2025-04-24 16:36:27.060","45771.6919798611","2.0932","0.8409"
"2025-04-24 16:36:27.065","45771.6919799190","2.0922","0.8413"
"2025-04-24 16:36:27.070","45771.6919799769","2.0918","0.8405"
"2025-04-24 16:36:27.075","45771.6919800347","2.0918","0.8415"
"2025-04-24 16:36:27.080","45771.6919800926","2.0937","0.8417"
"2025-04-24 16:36:27.085","45771.6919801505","2.0933","0.8413"
"2025-04-24 16:36:27.090","45771.6919802083","2.0917","0.8400"
"2025-04-24 16:36:27.095","45771.6919802662","2.0917","0.8475"
"2025-04-24 16:36:27.100","45771.6919803241","2.0936","0.8590"
"2025-04-24 16:36:27.105","45771.6919803819","2.0918","0.8647"
"2025-04-24 16:36:27.110","45771.6919804398","2.0925","0.8608"
"2025-04-24 16:36:27.115","45771.6919804977","2.0930","0.8651"
"2025-04-24 16:36:27.120","45771.6919805556","2.0923","0.8646"
"2025-04-24 16:36:27.125","45771.6919806134","2.0937","0.8671"
"2025-04-24 16:36:27.130","45771.6919806713","2.0918","0.8661"
"2025-04-24 16:36:27.135","45771.6919807292","2.0928","0.8663"
"2025-04-24 16:36:27.140","45771.6919807870","2.0929","0.8674"
"2025-04-24 16:36:27.145","45771.6919808449","2.0936","0.8665"
"2025-04-24 16:36:27.150","45771.6919809028","2.0921","0.8632"
"2025-04-24 16:36:27.155","45771.6919809606","2.0932","0.8656"
"2025-04-24 16:36:27.160","45771.6919810185","2.0929","0.8652"
"2025-04-24 16:36:27.165","45771.6919810764","2.0942","0.8662"
"2025-04-24 16:36:27.170","45771.6919811343","2.0916","0.8664"
"2025-04-24 16:36:27.175","45771.6919811921","2.0924","0.8682"
"2025-04-24 16:36:27.180","45771.6919812500","2.0927","0.8685"
"2025-04-24 16:36:27.185","45771.6919813079","2.0937","0.8741"
"2025-04-24 16:36:27.190","45771.6919813657","2.0938","0.8750"
"2025-04-24 16:36:27.195","45771.6919814236","2.0935","0.8756"
"2025-04-24 16:36:27.200","45771.6919814815","2.0928","0.8747"
"2025-04-24 16:36:27.205","45771.6919815393","2.0918","0.8746"
"2025-04-24 16:36:27.210","45771.6919815972","2.0920","0.8782"
"2025-04-24 16:36:27.215","45771.6919816551","2.0930","0.8773"
"2025-04-24 16:36:27.220","45771.6919817130","2.0925","0.8761"
"2025-04-24 16:36:27.225","45771.6919817708","2.0928","0.8791"
"2025-04-24 16:36:27.230","45771.6919818287","2.0913","0.8814"
"2025-04-24 16:36:27.235","45771.6919818866","2.0927","0.8872"
"2025-04-24 16:36:27.240","45771.6919819444","2.0933","0.8896"
"2025-04-24 16:36:27.245","45771.6919820023","2.0938","0.8900"
"2025-04-24 16:36:27.250","45771.6919820602","2.0940","0.8925"
"2025-04-24 16:36:27.255","45771.6919821181","2.0924","0.8892"
"2025-04-24 16:36:27.260","45771.6919821759","2.0910","0.8899"
"2025-04-24 16:36:27.265","45771.6919822338","2.0927","0.8923"
"2025-04-24 16:36:27.270","45771.6919822917","2.0930","0.8931"
"2025-04-24 16:36:27.275","45771.6919823495","2.0929","0.8940"
"2025-04-24 16:36:27.280","45771.6919824074","2.0921","0.8963"
"2025-04-24 16:36:27.285","45771.6919824653","2.0919","0.8983"
"2025-04-24 16:36:27.290","45771.6919825231","2.0927","0.9025"
"2025-04-24 16:36:27.295","45771.6919825810","2.0938","0.9048"
"2025-04-24 16:36:27.300","45771.6919826389","2.0931","0.9054"
"2025-04-24 16:36:27.305","45771.6919826968","2.0935","0.9041"
"2025-04-24 16:36:27.310","45771.6919827546","2.0916","0.9043"
"2025-04-24 16:36:27.315","45771.6919828125","2.0930","0.9041"
"2025-04-24 16:36:27.320","45771.6919828704","2.0925","0.9044"
"2025-04-24 16:36:27.325","45771.6919829282","2.0920","0.9087"
"2025-04-24 16:36:27.330","45771.6919829861","2.0930","0.9159"
"2025-04-24 16:36:27.335","45771.6919830440","2.0949","0.9200"
"2025-04-24 16:36:27.340","45771.6919831019","2.0922","0.9225"
"2025-04-24 16:36:27.345","45771.6919831597","2.0929","0.9236"
"2025-04-24 16:36:27.350","45771.6919832176","2.0923","0.9250"
"2025-04-24 16:36:27.355","45771.6919832755","2.0953","0.9254"
"2025-04-24 16:36:27.360","45771.6919833333","2.0977","0.9276"
"2025-04-24 16:36:27.365","45771.6919833912","2.0929","0.9248"
"2025-04-24 16:36:27.370","45771.6919834491","2.0923","0.9249"
"2025-04-24 16:36:27.375","45771.6919835069","2.0928","0.9238"
"2025-04-24 16:36:27.380","45771.6919835648","2.0926","0.9256"
"2025-04-24 16:36:27.385","45771.6919836227","2.0917","0.9308"
"2025-04-24 16:36:27.390","45771.6919836806","2.0910","0.9387"
"2025-04-24 16:36:27.395","45771.6919837384","2.0934","0.9480"
"2025-04-24 16:36:27.400","45771.6919837963","2.0940","0.9515"
"2025-04-24 16:36:27.405","45771.6919838542","2.0926","0.9537"
"2025-04-24 16:36:27.410","45771.6919839120","2.0913","0.9553"
"2025-04-24 16:36:27.415","45771.6919839699","2.0922","0.9572"
"2025-04-24 16:36:27.420","45771.6919840278","2.0928","0.9642"
"2025-04-24 16:36:27.425","45771.6919840856","2.0929","0.9680"
"2025-04-24 16:36:27.430","45771.6919841435","2.0927","0.9873"
"2025-04-24 16:36:27.435","45771.6919842014","2.0921","0.9956"
"2025-04-24 16:36:27.440","45771.6919842593","2.0941","0.9996"
"2025-04-24 16:36:27.445","45771.6919843171","2.0937","1.0055"
"2025-04-24 16:36:27.450","45771.6919843750","2.0931","1.0062"
"2025-04-24 16:36:27.455","45771.6919844329","2.0929","1.0074"
"2025-04-24 16:36:27.460","45771.6919844907","2.0919","1.0119"
"2025-04-24 16:36:27.465","45771.6919845486","2.0928","1.0146"
"2025-04-24 16:36:27.470","45771.6919846065","2.0926","1.0180"
"2025-04-24 16:36:27.475","45771.6919846644","2.0929","1.0290"
"2025-04-24 16:36:27.480","45771.6919847222","2.0908","1.0384"
"2025-04-24 16:36:27.485","45771.6919847801","2.0927","1.0432"
"2025-04-24 16:36:27.490","45771.6919848380","2.0940","1.0436"
"2025-04-24 16:36:27.495","45771.6919848958","2.0914","1.0428"
"2025-04-24 16:36:27.500","45771.6919849537","2.0903","1.0431"
"2025-04-24 16:36:27.505","45771.6919850116","2.0927","1.0486"
"2025-04-24 16:36:27.510","45771.6919850694","2.0928","1.0528"
"2025-04-24 16:36:27.515","45771.6919851273","2.0938","1.0568"
"2025-04-24 16:36:27.520","45771.6919851852","2.0930","1.0598"
"2025-04-24 16:36:27.525","45771.6919852431","2.0913","1.0598"
"2025-04-24 16:36:27.530","45771.6919853009","2.0916","1.0660"
"2025-04-24 16:36:27.535","45771.6919853588","2.0936","1.0714"
"2025-04-24 16:36:27.540","45771.6919854167","2.0910","1.0711"
"2025-04-24 16:36:27.545","45771.6919854745","2.0911","1.0717"
"2025-04-24 16:36:27.550","45771.6919855324","2.0928","1.0742"
"2025-04-24 16:36:27.555","45771.6919855903","2.0932","1.0798"
"2025-04-24 16:36:27.560","45771.6919856481","2.0923","1.0895"
"2025-04-24 16:36:27.565","45771.6919857060","2.0918","1.0977"
"2025-04-24 16:36:27.570","45771.6919857639","2.0935","1.1011"
"2025-04-24 16:36:27.575","45771.6919858218","2.0930","1.1008"
"2025-04-24 16:36:27.580","45771.6919858796","2.0925","1.1026"
"2025-04-24 16:36:27.585","45771.6919859375","2.0914","1.1041"
"2025-04-24 16:36:27.590","45771.6919859954","2.0908","1.1114"
"2025-04-24 16:36:27.595","45771.6919860532","2.0935","1.1179"
"2025-04-24 16:36:27.600","45771.6919861111","2.0943","1.1210"
"2025-04-24 16:36:27.605","45771.6919861690","2.0932","1.1234"
"2025-04-24 16:36:27.610","45771.6919862269","2.0924","1.1262"
"2025-04-24 16:36:27.615","45771.6919862847","2.0937","1.1302"
"2025-04-24 16:36:27.620","45771.6919863426","2.0935","1.1372"
"2025-04-24 16:36:27.625","45771.6919864005","2.0944","1.1627"
"2025-04-24 16:36:27.630","45771.6919864583","2.0930","1.1732"
"2025-04-24 16:36:27.635","45771.6919865162","2.0926","1.1818"
"2025-04-24 16:36:27.640","45771.6919865741","2.0944","1.1894"
"2025-04-24 16:36:27.645","45771.6919866319","2.0942","1.1967"
"2025-04-24 16:36:27.650","45771.6919866898","2.0928","1.1989"
"2025-04-24 16:36:27.655","45771.6919867477","2.0923","1.1979"
"2025-04-24 16:36:27.660","45771.6919868056","2.0935","1.1982"
"2025-04-24 16:36:27.665","45771.6919868634","2.0937","1.1996"
"2025-04-24 16:36:27.670","45771.6919869213","2.0932","1.2013"
"2025-04-24 16:36:27.675","45771.6919869792","2.0914","1.2041"
"2025-04-24 16:36:27.680","45771.6919870370","2.0913","1.2081"
"2025-04-24 16:36:27.685","45771.6919870949","2.0933","1.2135"
"2025-04-24 16:36:27.690","45771.6919871528","2.0945","1.2314"
"2025-04-24 16:36:27.695","45771.6919872106","2.0933","1.2267"
"2025-04-24 16:36:27.700","45771.6919872685","2.0920","1.2257"
"2025-04-24 16:36:27.705","45771.6919873264","2.0934","1.2247"
"2025-04-24 16:36:27.710","45771.6919873843","2.0933","1.2259"
"2025-04-24 16:36:27.715","45771.6919874421","2.0935","1.2267"
"2025-04-24 16:36:27.720","45771.6919875000","2.0909","1.2274"
"2025-04-24 16:36:27.725","45771.6919875579","2.0936","1.2297"
"2025-04-24 16:36:27.730","45771.6919876157","2.0934","1.2319"
"2025-04-24 16:36:27.735","45771.6919876736","2.0935","1.2415"
"2025-04-24 16:36:27.740","45771.6919877315","2.0918","1.2504"
"2025-04-24 16:36:27.745","45771.6919877894","2.0934","1.2556"
"2025-04-24 16:36:27.750","45771.6919878472","2.0947","1.2606"
"2025-04-24 16:36:27.755","45771.6919879051","2.0939","1.2790"
"2025-04-24 16:36:27.760","45771.6919879630","2.0943","1.2829"
"2025-04-24 16:36:27.765","45771.6919880208","2.0919","1.2849"
"2025-04-24 16:36:27.770","45771.6919880787","2.0926","1.2912"
"2025-04-24 16:36:27.775","45771.6919881366","2.0936","1.2915"
"2025-04-24 16:36:27.780","45771.6919881944","2.0937","1.2956"
"2025-04-24 16:36:27.785","45771.6919882523","2.0932","1.3002"
"2025-04-24 16:36:27.790","45771.6919883102","2.0921","1.3039"
"2025-04-24 16:36:27.795","45771.6919883681","2.0908","1.3072"
"2025-04-24 16:36:27.800","45771.6919884259","2.0924","1.3102"
"2025-04-24 16:36:27.805","45771.6919884838","2.0934","1.3168"
"2025-04-24 16:36:27.810","45771.6919885417","2.0941","1.3384"
"2025-04-24 16:36:27.815","45771.6919885995","2.0941","1.3513"
"2025-04-24 16:36:27.820","45771.6919886574","2.0922","1.3599"
"2025-04-24 16:36:27.825","45771.6919887153","2.0931","1.3652"
"2025-04-24 16:36:27.830","45771.6919887731","2.0943","1.3747"
"2025-04-24 16:36:27.835","45771.6919888310","2.0933","1.3770"
"2025-04-24 16:36:27.840","45771.6919888889","2.0922","1.3763"
"2025-04-24 16:36:27.845","45771.6919889468","2.0936","1.3770"
"2025-04-24 16:36:27.850","45771.6919890046","2.0930","1.3782"
"2025-04-24 16:36:27.855","45771.6919890625","2.0935","1.3903"
"2025-04-24 16:36:27.860","45771.6919891204","2.0940","1.3942"
"2025-04-24 16:36:27.865","45771.6919891782","2.0937","1.3920"
"2025-04-24 16:36:27.870","45771.6919892361","2.0923","1.3910"
"2025-04-24 16:36:27.875","45771.6919892940","2.0929","1.3953"
"2025-04-24 16:36:27.880","45771.6919893518","2.0934","1.3966"
"2025-04-24 16:36:27.885","45771.6919894097","2.0929","1.3999"
"2025-04-24 16:36:27.890","45771.6919894676","2.0925","1.4065"
"2025-04-24 16:36:27.895","45771.6919895255","2.0930","1.4114"
"2025-04-24 16:36:27.900","45771.6919895833","2.0935","1.4124"
"2025-04-24 16:36:27.905","45771.6919896412","2.0925","1.4161"
"2025-04-24 16:36:27.910","45771.6919896991","2.0931","1.4209"
"2025-04-24 16:36:27.915","45771.6919897569","2.0919","1.4244"
"2025-04-24 16:36:27.920","45771.6919898148","2.0926","1.4284"
"2025-04-24 16:36:27.925","45771.6919898727","2.0943","1.4360"
"2025-04-24 16:36:27.930","45771.6919899306","2.0940","1.4480"
"2025-04-24 16:36:27.935","45771.6919899884","2.0947","1.4508"
"2025-04-24 16:36:27.940","45771.6919900463","2.0934","1.4514"
"2025-04-24 16:36:27.945","45771.6919901042","2.0937","1.4552"
"2025-04-24 16:36:27.950","45771.6919901620","2.0928","1.4572"
"2025-04-24 16:36:27.955","45771.6919902199","2.0921","1.4602"
"2025-04-24 16:36:27.960","45771.6919902778","2.0920","1.4661"
"2025-04-24 16:36:27.965","45771.6919903356","2.0934","1.4720"
"2025-04-24 16:36:27.970","45771.6919903935","2.0934","1.4776"
"2025-04-24 16:36:27.975","45771.6919904514","2.0939","1.4944"
"2025-04-24 16:36:27.980","45771.6919905093","2.0927","1.4944"
"2025-04-24 16:36:27.985","45771.6919905671","2.0918","1.4980"
"2025-04-24 16:36:27.990","45771.6919906250","2.0942","1.5072"
"2025-04-24 16:36:27.995","45771.6919906829","2.0942","1.5107"
"2025-04-24 16:36:28.000","45771.6919907407","2.0912","1.5185"
"2025-04-24 16:36:28.005","45771.6919907986","2.0921","1.5301"
"2025-04-24 16:36:28.010","45771.6919908565","2.0935","1.5363"
"2025-04-24 16:36:28.015","45771.6919909144","2.0928","1.5400"
"2025-04-24 16:36:28.020","45771.6919909722","2.0913","1.5469"
"2025-04-24 16:36:28.025","45771.6919910301","2.0929","1.5508"
"2025-04-24 16:36:28.030","45771.6919910880","2.0931","1.5521"
"2025-04-24 16:36:28.035","45771.6919911458","2.0930","1.5516"
"2025-04-24 16:36:28.040","45771.6919912037","2.0927","1.5535"
"2025-04-24 16:36:28.045","45771.6919912616","2.0919","1.5578"
"2025-04-24 16:36:28.050","45771.6919913194","2.0918","1.5625"
"2025-04-24 16:36:28.055","45771.6919913773","2.0931","1.5613"
"2025-04-24 16:36:28.060","45771.6919914352","2.0928","1.5607"
"2025-04-24 16:36:28.065","45771.6919914931","2.0936","1.5744"
"2025-04-24 16:36:28.070","45771.6919915509","2.0924","1.5867"
"2025-04-24 16:36:28.075","45771.6919916088","2.0927","1.5912"
"2025-04-24 16:36:28.080","45771.6919916667","2.0933","1.5907"
"2025-04-24 16:36:28.085","45771.6919917245","2.0927","1.5918"
"2025-04-24 16:36:28.090","45771.6919917824","2.0933","1.5951"
"2025-04-24 16:36:28.095","45771.6919918403","2.0931","1.5967"
"2025-04-24 16:36:28.100","45771.6919918982","2.0937","1.5975"
"2025-04-24 16:36:28.105","45771.6919919560","2.0913","1.5991"
"2025-04-24 16:36:28.110","45771.6919920139","2.0933","1.6039"
"2025-04-24 16:36:28.115","45771.6919920718","2.0935","1.6096"
"2025-04-24 16:36:28.120","45771.6919921296","2.0938","1.6168"
"2025-04-24 16:36:28.125","45771.6919921875","2.0923","1.6158"
"2025-04-24 16:36:28.130","45771.6919922454","2.0922","1.6183"
"2025-04-24 16:36:28.135","45771.6919923032","2.0935","1.6327"
"2025-04-24 16:36:28.140","45771.6919923611","2.0941","1.6466"
"2025-04-24 16:36:28.145","45771.6919924190","2.0937","1.6501"
