"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","Channel1","Channel2"
"","","V","V"
"2025-04-24 16:45:24.000","45771.6981944444","0.7738","0.7561"
"2025-04-24 16:45:24.005","45771.6981945023","0.7851","0.7693"
"2025-04-24 16:45:24.010","45771.6981945602","0.7937","0.7888"
"2025-04-24 16:45:24.015","45771.6981946181","0.8002","0.8048"
"2025-04-24 16:45:24.020","45771.6981946759","0.8081","0.8088"
"2025-04-24 16:45:24.025","45771.6981947338","0.8181","0.8167"
"2025-04-24 16:45:24.030","45771.6981947917","0.8281","0.8241"
"2025-04-24 16:45:24.035","45771.6981948495","0.8374","0.8310"
"2025-04-24 16:45:24.040","45771.6981949074","0.8446","0.8445"
"2025-04-24 16:45:24.045","45771.6981949653","0.8484","0.8535"
"2025-04-24 16:45:24.050","45771.6981950231","0.8565","0.8561"
"2025-04-24 16:45:24.055","45771.6981950810","0.8647","0.8559"
"2025-04-24 16:45:24.060","45771.6981951389","0.8711","0.8593"
"2025-04-24 16:45:24.065","45771.6981951968","0.8821","0.8639"
"2025-04-24 16:45:24.070","45771.6981952546","0.8952","0.8643"
"2025-04-24 16:45:24.075","45771.6981953125","0.9091","0.8664"
"2025-04-24 16:45:24.080","45771.6981953704","0.9155","0.8728"
"2025-04-24 16:45:24.085","45771.6981954282","0.9204","0.8877"
"2025-04-24 16:45:24.090","45771.6981954861","0.9231","0.8905"
"2025-04-24 16:45:24.095","45771.6981955440","0.9261","0.8968"
"2025-04-24 16:45:24.100","45771.6981956018","0.9298","0.9042"
"2025-04-24 16:45:24.105","45771.6981956597","0.9345","0.9077"
"2025-04-24 16:45:24.110","45771.6981957176","0.9390","0.9100"
"2025-04-24 16:45:24.115","45771.6981957755","0.9472","0.9187"
"2025-04-24 16:45:24.120","45771.6981958333","0.9581","0.9198"
"2025-04-24 16:45:24.125","45771.6981958912","0.9637","0.9198"
"2025-04-24 16:45:24.130","45771.6981959491","0.9713","0.9228"
"2025-04-24 16:45:24.135","45771.6981960069","0.9809","0.9225"
"2025-04-24 16:45:24.140","45771.6981960648","0.9842","0.9242"
"2025-04-24 16:45:24.145","45771.6981961227","0.9895","0.9254"
"2025-04-24 16:45:24.150","45771.6981961806","0.9950","0.9315"
"2025-04-24 16:45:24.155","45771.6981962384","1.0030","0.9348"
"2025-04-24 16:45:24.160","45771.6981962963","1.0150","0.9467"
"2025-04-24 16:45:24.165","45771.6981963542","1.0258","0.9520"
"2025-04-24 16:45:24.170","45771.6981964120","1.0336","0.9770"
"2025-04-24 16:45:24.175","45771.6981964699","1.0397","0.9988"
"2025-04-24 16:45:24.180","45771.6981965278","1.0434","1.0134"
"2025-04-24 16:45:24.185","45771.6981965856","1.0478","1.0146"
"2025-04-24 16:45:24.190","45771.6981966435","1.0572","1.0293"
"2025-04-24 16:45:24.195","45771.6981967014","1.0689","1.0402"
"2025-04-24 16:45:24.200","45771.6981967593","1.0821","1.0450"
"2025-04-24 16:45:24.205","45771.6981968171","1.0918","1.0528"
"2025-04-24 16:45:24.210","45771.6981968750","1.0994","1.0562"
"2025-04-24 16:45:24.215","45771.6981969329","1.1060","1.0704"
"2025-04-24 16:45:24.220","45771.6981969907","1.1152","1.0726"
"2025-04-24 16:45:24.225","45771.6981970486","1.1237","1.0747"
"2025-04-24 16:45:24.230","45771.6981971065","1.1317","1.0788"
"2025-04-24 16:45:24.235","45771.6981971644","1.1387","1.0884"
"2025-04-24 16:45:24.240","45771.6981972222","1.1476","1.1011"
"2025-04-24 16:45:24.245","45771.6981972801","1.1540","1.1067"
"2025-04-24 16:45:24.250","45771.6981973380","1.1624","1.1145"
"2025-04-24 16:45:24.255","45771.6981973958","1.1739","1.1164"
"2025-04-24 16:45:24.260","45771.6981974537","1.1851","1.1223"
"2025-04-24 16:45:24.265","45771.6981975116","1.1939","1.1254"
"2025-04-24 16:45:24.270","45771.6981975694","1.2010","1.1374"
"2025-04-24 16:45:24.275","45771.6981976273","1.2153","1.1547"
"2025-04-24 16:45:24.280","45771.6981976852","1.2346","1.1740"
"2025-04-24 16:45:24.285","45771.6981977431","1.2478","1.1936"
"2025-04-24 16:45:24.290","45771.6981978009","1.2548","1.2054"
"2025-04-24 16:45:24.295","45771.6981978588","1.2675","1.2274"
"2025-04-24 16:45:24.300","45771.6981979167","1.2786","1.2286"
"2025-04-24 16:45:24.305","45771.6981979745","1.2868","1.2358"
"2025-04-24 16:45:24.310","45771.6981980324","1.2922","1.2476"
"2025-04-24 16:45:24.315","45771.6981980903","1.3029","1.2559"
"2025-04-24 16:45:24.320","45771.6981981482","1.3101","1.2773"
"2025-04-24 16:45:24.325","45771.6981982060","1.3256","1.2850"
"2025-04-24 16:45:24.330","45771.6981982639","1.3354","1.2928"
"2025-04-24 16:45:24.335","45771.6981983218","1.3498","1.2989"
"2025-04-24 16:45:24.340","45771.6981983796","1.3642","1.3056"
"2025-04-24 16:45:24.345","45771.6981984375","1.3772","1.3094"
"2025-04-24 16:45:24.350","45771.6981984954","1.3872","1.3133"
"2025-04-24 16:45:24.355","45771.6981985532","1.3940","1.3379"
"2025-04-24 16:45:24.360","45771.6981986111","1.4053","1.3517"
"2025-04-24 16:45:24.365","45771.6981986690","1.4175","1.3637"
"2025-04-24 16:45:24.370","45771.6981987269","1.4289","1.3823"
"2025-04-24 16:45:24.375","45771.6981987847","1.4360","1.4018"
"2025-04-24 16:45:24.380","45771.6981988426","1.4495","1.4092"
"2025-04-24 16:45:24.385","45771.6981989005","1.4598","1.4101"
"2025-04-24 16:45:24.390","45771.6981989583","1.4704","1.4167"
"2025-04-24 16:45:24.395","45771.6981990162","1.4785","1.4222"
"2025-04-24 16:45:24.400","45771.6981990741","1.4885","1.4266"
"2025-04-24 16:45:24.405","45771.6981991319","1.4952","1.4368"
"2025-04-24 16:45:24.410","45771.6981991898","1.4994","1.4504"
"2025-04-24 16:45:24.415","45771.6981992477","1.5083","1.4565"
"2025-04-24 16:45:24.420","45771.6981993056","1.5198","1.4620"
"2025-04-24 16:45:24.425","45771.6981993634","1.5386","1.4676"
"2025-04-24 16:45:24.430","45771.6981994213","1.5565","1.4709"
"2025-04-24 16:45:24.435","45771.6981994792","1.5613","1.4787"
"2025-04-24 16:45:24.440","45771.6981995370","1.5701","1.4912"
"2025-04-24 16:45:24.445","45771.6981995949","1.5779","1.4981"
"2025-04-24 16:45:24.450","45771.6981996528","1.5845","1.5097"
"2025-04-24 16:45:24.455","45771.6981997106","1.5974","1.5316"
"2025-04-24 16:45:24.460","45771.6981997685","1.6053","1.5460"
"2025-04-24 16:45:24.465","45771.6981998264","1.6160","1.5657"
"2025-04-24 16:45:24.470","45771.6981998843","1.6242","1.5799"
"2025-04-24 16:45:24.475","45771.6981999421","1.6351","1.5969"
"2025-04-24 16:45:24.480","45771.6982000000","1.6410","1.5972"
"2025-04-24 16:45:24.485","45771.6982000579","1.6422","1.5986"
"2025-04-24 16:45:24.490","45771.6982001157","1.6494","1.6028"
"2025-04-24 16:45:24.495","45771.6982001736","1.6622","1.6061"
"2025-04-24 16:45:24.500","45771.6982002315","1.6768","1.6123"
"2025-04-24 16:45:24.505","45771.6982002893","1.6874","1.6169"
"2025-04-24 16:45:24.510","45771.6982003472","1.6967","1.6176"
"2025-04-24 16:45:24.515","45771.6982004051","1.7026","1.6330"
"2025-04-24 16:45:24.520","45771.6982004630","1.7082","1.6523"
"2025-04-24 16:45:24.525","45771.6982005208","1.7153","1.6553"
"2025-04-24 16:45:24.530","45771.6982005787","1.7226","1.6587"
"2025-04-24 16:45:24.535","45771.6982006366","1.7307","1.6762"
"2025-04-24 16:45:24.540","45771.6982006944","1.7414","1.6992"
"2025-04-24 16:45:24.545","45771.6982007523","1.7479","1.7101"
"2025-04-24 16:45:24.550","45771.6982008102","1.7545","1.7193"
"2025-04-24 16:45:24.555","45771.6982008681","1.7637","1.7196"
"2025-04-24 16:45:24.560","45771.6982009259","1.7742","1.7215"
"2025-04-24 16:45:24.565","45771.6982009838","1.7809","1.7273"
"2025-04-24 16:45:24.570","45771.6982010417","1.7896","1.7303"
"2025-04-24 16:45:24.575","45771.6982010995","1.7969","1.7335"
"2025-04-24 16:45:24.580","45771.6982011574","1.8077","1.7409"
"2025-04-24 16:45:24.585","45771.6982012153","1.8169","1.7449"
"2025-04-24 16:45:24.590","45771.6982012731","1.8241","1.7463"
"2025-04-24 16:45:24.595","45771.6982013310","1.8280","1.7507"
"2025-04-24 16:45:24.600","45771.6982013889","1.8338","1.7575"
"2025-04-24 16:45:24.605","45771.6982014468","1.8378","1.7651"
"2025-04-24 16:45:24.610","45771.6982015046","1.8432","1.7756"
"2025-04-24 16:45:24.615","45771.6982015625","1.8477","1.7848"
"2025-04-24 16:45:24.620","45771.6982016204","1.8491","1.7878"
"2025-04-24 16:45:24.625","45771.6982016782","1.8576","1.7947"
"2025-04-24 16:45:24.630","45771.6982017361","1.8634","1.8143"
"2025-04-24 16:45:24.635","45771.6982017940","1.8711","1.8178"
"2025-04-24 16:45:24.640","45771.6982018519","1.8796","1.8357"
"2025-04-24 16:45:24.645","45771.6982019097","1.8864","1.8436"
"2025-04-24 16:45:24.650","45771.6982019676","1.8912","1.8713"
"2025-04-24 16:45:24.655","45771.6982020255","1.8967","1.8777"
"2025-04-24 16:45:24.660","45771.6982020833","1.9000","1.8803"
"2025-04-24 16:45:24.665","45771.6982021412","1.9037","1.8786"
"2025-04-24 16:45:24.670","45771.6982021991","1.9071","1.8785"
"2025-04-24 16:45:24.675","45771.6982022569","1.9120","1.8806"
"2025-04-24 16:45:24.680","45771.6982023148","1.9169","1.8801"
"2025-04-24 16:45:24.685","45771.6982023727","1.9199","1.8820"
"2025-04-24 16:45:24.690","45771.6982024306","1.9271","1.8862"
"2025-04-24 16:45:24.695","45771.6982024884","1.9367","1.8906"
"2025-04-24 16:45:24.700","45771.6982025463","1.9458","1.9005"
"2025-04-24 16:45:24.705","45771.6982026042","1.9505","1.9107"
"2025-04-24 16:45:24.710","45771.6982026620","1.9577","1.9161"
"2025-04-24 16:45:24.715","45771.6982027199","1.9644","1.9190"
"2025-04-24 16:45:24.720","45771.6982027778","1.9722","1.9202"
"2025-04-24 16:45:24.725","45771.6982028357","1.9795","1.9254"
"2025-04-24 16:45:24.730","45771.6982028935","1.9867","1.9304"
"2025-04-24 16:45:24.735","45771.6982029514","1.9955","1.9402"
"2025-04-24 16:45:24.740","45771.6982030093","2.0057","1.9490"
"2025-04-24 16:45:24.745","45771.6982030671","2.0165","1.9748"
"2025-04-24 16:45:24.750","45771.6982031250","2.0197","1.9836"
"2025-04-24 16:45:24.755","45771.6982031829","2.0278","1.9913"
"2025-04-24 16:45:24.760","45771.6982032407","2.0422","2.0083"
"2025-04-24 16:45:24.765","45771.6982032986","2.0524","2.0167"
"2025-04-24 16:45:24.770","45771.6982033565","2.0663","2.0193"
"2025-04-24 16:45:24.775","45771.6982034144","2.0688","2.0206"
"2025-04-24 16:45:24.780","45771.6982034722","2.0823","2.0243"
"2025-04-24 16:45:24.785","45771.6982035301","2.0939","2.0322"
"2025-04-24 16:45:24.790","45771.6982035880","2.1038","2.0440"
"2025-04-24 16:45:24.795","45771.6982036458","2.1124","2.0500"
"2025-04-24 16:45:24.800","45771.6982037037","2.1243","2.0530"
"2025-04-24 16:45:24.805","45771.6982037616","2.1355","2.0621"
"2025-04-24 16:45:24.810","45771.6982038194","2.1466","2.0755"
"2025-04-24 16:45:24.815","45771.6982038773","2.1603","2.0816"
"2025-04-24 16:45:24.820","45771.6982039352","2.1736","2.0952"
"2025-04-24 16:45:24.825","45771.6982039931","2.1813","2.1155"
"2025-04-24 16:45:24.830","45771.6982040509","2.1954","2.1245"
"2025-04-24 16:45:24.835","45771.6982041088","2.2070","2.1434"
"2025-04-24 16:45:24.840","45771.6982041667","2.2221","2.1631"
"2025-04-24 16:45:24.845","45771.6982042245","2.2290","2.1751"
"2025-04-24 16:45:24.850","45771.6982042824","2.2346","2.1885"
"2025-04-24 16:45:24.855","45771.6982043403","2.2466","2.1877"
"2025-04-24 16:45:24.860","45771.6982043981","2.2677","2.1918"
"2025-04-24 16:45:24.865","45771.6982044560","2.2771","2.2039"
"2025-04-24 16:45:24.870","45771.6982045139","2.2895","2.2242"
"2025-04-24 16:45:24.875","45771.6982045718","2.2964","2.2173"
"2025-04-24 16:45:24.880","45771.6982046296","2.3096","2.2422"
"2025-04-24 16:45:24.885","45771.6982046875","2.3256","2.2450"
"2025-04-24 16:45:24.890","45771.6982047454","2.3437","2.2630"
"2025-04-24 16:45:24.895","45771.6982048032","2.3534","2.2851"
"2025-04-24 16:45:24.900","45771.6982048611","2.3600","2.2896"
"2025-04-24 16:45:24.905","45771.6982049190","2.3733","2.3061"
"2025-04-24 16:45:24.910","45771.6982049768","2.3853","2.3119"
"2025-04-24 16:45:24.915","45771.6982050347","2.3931","2.3192"
"2025-04-24 16:45:24.920","45771.6982050926","2.4043","2.3266"
"2025-04-24 16:45:24.925","45771.6982051505","2.4240","2.3325"
"2025-04-24 16:45:24.930","45771.6982052083","2.4379","2.3475"
"2025-04-24 16:45:24.935","45771.6982052662","2.4487","2.3570"
"2025-04-24 16:45:24.940","45771.6982053241","2.4611","2.3771"
"2025-04-24 16:45:24.945","45771.6982053819","2.4658","2.3860"
"2025-04-24 16:45:24.950","45771.6982054398","2.4721","2.4092"
"2025-04-24 16:45:24.955","45771.6982054977","2.4879","2.4363"
"2025-04-24 16:45:24.960","45771.6982055556","2.4986","2.4466"
"2025-04-24 16:45:24.965","45771.6982056134","2.5053","2.4537"
"2025-04-24 16:45:24.970","45771.6982056713","2.5168","2.4598"
"2025-04-24 16:45:24.975","45771.6982057292","2.5232","2.4619"
"2025-04-24 16:45:24.980","45771.6982057870","2.5320","2.4658"
"2025-04-24 16:45:24.985","45771.6982058449","2.5360","2.4734"
"2025-04-24 16:45:24.990","45771.6982059028","2.5458","2.4872"
"2025-04-24 16:45:24.995","45771.6982059606","2.5600","2.5021"
"2025-04-24 16:45:25.000","45771.6982060185","2.5668","2.5191"
"2025-04-24 16:45:25.005","45771.6982060764","2.5694","2.5380"
"2025-04-24 16:45:25.010","45771.6982061343","2.5757","2.5591"
"2025-04-24 16:45:25.015","45771.6982061921","2.5802","2.5698"
"2025-04-24 16:45:25.020","45771.6982062500","2.5898","2.5843"
"2025-04-24 16:45:25.025","45771.6982063079","2.5981","2.5863"
"2025-04-24 16:45:25.030","45771.6982063657","2.6080","2.5864"
"2025-04-24 16:45:25.035","45771.6982064236","2.6118","2.5829"
"2025-04-24 16:45:25.040","45771.6982064815","2.6154","2.5854"
"2025-04-24 16:45:25.045","45771.6982065394","2.6189","2.5892"
"2025-04-24 16:45:25.050","45771.6982065972","2.6224","2.5932"
"2025-04-24 16:45:25.055","45771.6982066551","2.6244","2.5963"
"2025-04-24 16:45:25.060","45771.6982067130","2.6271","2.5968"
"2025-04-24 16:45:25.065","45771.6982067708","2.6268","2.5997"
"2025-04-24 16:45:25.070","45771.6982068287","2.6324","2.6106"
"2025-04-24 16:45:25.075","45771.6982068866","2.6341","2.6169"
"2025-04-24 16:45:25.080","45771.6982069444","2.6451","2.6226"
"2025-04-24 16:45:25.085","45771.6982070023","2.6413","2.6183"
"2025-04-24 16:45:25.090","45771.6982070602","2.6492","2.6253"
"2025-04-24 16:45:25.095","45771.6982071181","2.6514","2.6338"
"2025-04-24 16:45:25.100","45771.6982071759","2.6571","2.6438"
"2025-04-24 16:45:25.105","45771.6982072338","2.6591","2.6535"
"2025-04-24 16:45:25.110","45771.6982072917","2.6679","2.6603"
"2025-04-24 16:45:25.115","45771.6982073495","2.6679","2.6646"
"2025-04-24 16:45:25.120","45771.6982074074","2.6728","2.6716"
"2025-04-24 16:45:25.125","45771.6982074653","2.6740","2.6809"
"2025-04-24 16:45:25.130","45771.6982075231","2.6777","2.6851"
"2025-04-24 16:45:25.135","45771.6982075810","2.6788","2.6849"
"2025-04-24 16:45:25.140","45771.6982076389","2.6799","2.6848"
"2025-04-24 16:45:25.145","45771.6982076968","2.6814","2.6850"
